review,rating
"I watched this item for several months and hesitated ordering it because of the reviews stating that it was to small for Target shopping carts. In March 2012 I noticed some new colors were available so I decided to give it a try. When I received the box it had a sticker on it that read - """"New & Improved Larger Size."""" I brought it to Target and it fit the cart with plenty of room to spare. So far I'm very happy with it.I've posted photos of the box and the cover on a Target shopping cart in the customer photos section.",1
she is gettig ready to crawl and this would be a fun toy for her. i didn't like anything about it. i would recommend this toy for crawlers.,1
this pink owl pillow is so cute.. it is so soft and with a good size.. my daughter love it..,1
I really like it ! :) it looks nice.in my room ! I bought one for my sister and she loves it ! Seems she loves hello kitty. So I really recommended it !Yall should buy it !,1
"My twins were born at 35 weeks weighing in at 4 lbs. 7 oz. and 4 lbs. 10 oz.  After spending nine days in the hospital, we prepared to come home.  Unfortunately my smaller twin failed the mandatory car seat test.  I was devastated, but our hospital came to the rescue and let us borrow a bed car seat similar to this one.  We were allowed to leave that day as planned even though my baby weighed only 4 lbs. 2 oz. at our time of departure. I immediately bought this car seat online since we had several drs. appointments we had to go to. This truly saved us and allowed us to travel without worrying that our little one's breathing would be compromised.After a month, our baby passed the car seat test and we were able to switch to a regular seat.  It was a good thing because our baby was already growing too big for this seat.  Glad to have it for the time we needed it.",1
This was washed twice with fabric softener both times before even attempting to put on bed and it is still a really rough texture. I would not sleep on this myself. Terrible product by Carter's. Very disappointing. I suppose I can use this for cleaning the garage instead.,0
Well worth the price.  This is very durable.  My little guy had 8 teeth by the time he was 7 months and has gnawed on this thing like you wouldn't believe.  It is in the same great condition as when we got it.  The legs of the giraffe allow little ones to localize teething more efficiently.,1
"The second time I wanted to use the tent, I was setting it up and the pole snapped.  The poles are made of cheap plastic, so I wouldn't recommend purchasing this item lest your tent encounters the same fate.It is also virtually impossible to get the tent back into the stuff sack after the first use.",0
"This toy is made like a rag doll. The sewn seams are exposed. The fabrics used are dull, not bright like most new toys. It does appear well put together; the ears and tail and other protrusions won't come off easily. There's a barely reflective circular disc on the belly of the doll that will show changes in the color of objects passed in front of it and not much else. There's a small wooden ring  and a small plastic shape attached below the barely reflective disc.  A baby may become attached to this toy because of  all the different places it can be grabbed. It doesn't look anything like a giraffe.  The blue things on the top of the head don't look anything like giraffe horns.",1
"My son loves being able to use this. It's easy for him to move around the kitchen to watch me while I'm cooking. I used it once (hoping I wouldn't break it) and it seems to hold 250 lbs. well. Granted, I wasn't jumping on it or anything, but it held up and didn't break. Woo! :)",1
This bag has 3 full size outside pockets as well as the bottle holders on the sides.  Inside it has 2 smaller pockets so it's not so much of a 'black hole'.  Fairly durable and comes with wipe holder and changing pad.,1
"These were the first table-toppers I purchased and I loved that they helped contain messes and also kept my little one from eating food off of a table. But, I soon encountered a better solutions... there are other table toppers that are biodegradeable (the Pooh ones are plastic). The other brand also is mostly black and white, and my my older kiddo enjoys coloring on them. Overall these type of products are great for early self feeders, but I prefer the ones that will biodegrade.",0
Nice mirror for the gym or crib plus can hang with the velcro very colorful. like the way you can position it in serval ways.,1
I received this car seat as a gift and we just loved it! We found that it grew with our daughter very nicely and we were a bit sad that she eventually outgrew it completely after a year. This car seat is simple to install and use. It is well made and really handled being used and abused without any problems. We ended up buying two more bases so that both my husband and I had one as well as our daughter's babysitter. The babysitter was able to squeeze this car seat into her SUV in between her two kids car seats with no problems at all. I would definitely recommend this car seat! I just felt like my precious little package was wrapped up snug and safe in this seat!,1
"This was a gift for a friend with a new baby.  It's cute, soft, useable and loveable.  What's not to like about it?",1
"Great infant car seat. I had the same car seat for my daughter, and bought another one for my brother's son. It is comfortable, easy to use and light weight",1
Came with missing pieces and some of the piece or broken. Do not buy it.now don't know what to do.,0
It'll get its first trial this weekend ! Our 2 year old grandaughter will be visiting from Manhattan and she'll be sleeping inour guest bedroom'!  Seems like it could be a little taller!,0
"At first I loved this bag. The colors and style were very appealing. However I used this bag only a couple of times before the zipper gave out. I never overloaded the bag or pushed it's limits. It was just poorly constructed material and didn't meet up to my expectations in the least. I have had cheap diapers bags from Walmart last longer than this. Long story short, I ended up investing in a Petunia Pickle bag instead. Disappointed doesn't even begin to cut it. Save your money.",0
Purchased a second one for my second child. Great modern look and doesn't take over the whole room. highly recommend,1
"If you want to use this for 2 kids, with another monitor- don't buy it. If you are considering buying a second camera for two kids, think about my comments below.Here is why I like it:This monitor scans for ten seconds between my two kids. (I have two cameras.)The monitor shows the temperature. Didn't realize I was probably cooking my oldest until I started using this monitor.You can zoom in on your child to make sure he/she is breathing. (I do this. ;)Here is what I'm not sure about:You can play a lullaby or talk to your kid through the monitor. The lullaby and &#34;talking&#34; sounds like Darth Vader. It would probably scare my kid to death. Be your own judge.Here's what I don't like:It doesn't have much of a reach- in two different ways. 1. Unless the camera is only about a foot or two away from your child, the picture is grainy. This means you cannot mount the camera across the room. We do this for my older child who would mess with the cord if we put it right by his bed. 2. The monitor's signal does not reach across the house very well. I have to put the antenna up and it still cuts out every now and then. Our house is 3500 square feet. I'm on one end, the boys on the other. (I might be stretching the range, but just so you know.)The monitor interferes with WiFi like crazy and any other monitor you might have. We originally bought this monitor with one camera to use with our new baby and planned on using an older, Summertime monitor for our oldest. You CANNOT use the two monitors at the same time. Summertime goes strong and this one shuts down. So, we bought another camera for this one and it works fine- UNLESS you are trying to use the Internet. It will cut out when I'm using my laptop or we try to use Apple TV, Amazon Prime instant video, etc.",0
"Easy to set up but took me longer than the 5 minutes it says on the box (hubby probably could have done it faster). But now that it's put together it is very easy to install on the bed. We take these bed rails with us on road trips and just toss them in the van. They fit up to queen sized beds and are easy to adjust. Great for the price too, nothing more I could ask for!",1
"Beautiful storage hamper for games and toys, it fitted just right! It is so cute, and my child loved it as well.",1
"Every mom needs stroller straps to hang the diaper bag, purse or shopping bags. This is the best on the market because it closes completely! No-one is going to steal your bag! They are the only one the market where you can choose your color. Its better than the hooks in that with them your bag can fall off, get stolen easily and the hooks cant hold a bag with a wide strap. Karima Mohamed, EXPERT SHOPPER",1
"My 8 month old baby loves to stand up in this crib, chew on the edges and look around at everyone.  It's great that the fabric is washable and the zipper opening allows me to put her in more easily when she's already knocked out.  The soft sides are also safe for her head because she is always falling all over the place.  Compact, practical and definitely recommended :)",1
"It works well...but just as a storage basket. It's not sturdy enough to actually sit on but is definitely a space saver. Easy pop-out design and really simple, but useful product. Highly recommend as a storage basket, NOT a seat.",1
"These cups are terrible.  The valve is fine, but within a month, the spout on the lid frayed as my 13 month old rubbed her teeth against it while drinking.  Now you can brush plastic fibers off the spout without hardly trying.  I can't imagine what a child would injest as a result!  I won't be buying Munchkins again - stick with Playtex.  After 3 children, those are still working GREAT.",0
"Grandson has loved it ever since he could sit in a bath.  It lights up, moves, and sprays water upwards like a fountain.  Great little toy in the bathtub!",1
"This swing was a lifesaver for our household!The swing can be turned to rock forward & back,or side to side; so if the baby gets restless,you can offer them a completly different view with the push of a button.The little globe on top changes color as it turns,which proved to be facinating to my son.My son was born with severe acid reflux,and was unable to lay completly flat,especially after eating,so this swing also served as a cradle/bassinet for the first few months of his life.We both slept much sounder due to the aqurium swing and the soothing water sounds it makes(as sound as you can sleep with a newborn.)Although there is a slight mechanical sound as well,its not too bad.Last,I do recall that when we first got home,the swing seemed to go a little fast for an infant-we simply layed a rolled up recieving blanket over the blue swinging arm to weigh it down a bit,and it was perfect!",1
"This shield is much more comfortable (for bigger nipples) than the standard one the pump comes with, but there is no barrier/filter between the shield intake and the hose, so milk sprays often cause droplets to end up in the hose, decreasing the pump efficiency. also the hose is a little tricky to dry afterwards.",0
i am such a fan of aden and anais swaddle wraps. the fabric is lightweight yet keeps my baby super warm. i love that the wrap is so big unlike other swaddle wraps that are small.,1
"amazing product for the price! colors are more vibrant than the picture leads on, it's so cute! the comforter is a little on the thin side, but i don't really think a baby needs a super thick blanket.",1
This is amazing! I've been using it from 3 weeks on. Five minutes in this and my baby falls asleep. I can't shop without it. Strangers are always asking me about it. Moms with strollers wish they thought of it first. Supports baby's legs so no crotch issues and it's cloth so no rash.or chafing issues like with other carriers. It's so easy to use! You Tube videos are great for learning how. Maybe practice with a doll first so your baby doesn't fuss. I use all positions but hug & adventure are my baby's favorite.,1
I ordered this cover up for my daughter believing you could choose from the various colors. The one I got was BROWN! I was not pleased at all!BB,0
That's why I really bought it. I don't want to put water in a big bathtub for a 6 month old. Even when he was a newborn I put his mesh sling in there while I bathed him and it fit with no problems.,1
"This is a great stroller.  I researched many different strollers before deciding on this one.  This is a newer stroller so I wasn't able to find many reviews on it, when I did find one online it was always positive so I decided to get one.  I love the way it looks and it is a very comfortable ride for my daughter.  I have gotten many compliments on it when taking it on a walk. You can use it from the time they are a newborn because it almost fully reclines and it comes with a cozy footmuff that you can zip on to keep you little one warm.  It also comes with a bar you can clip on so you can click in your infant car seat.  I think it works with most infant car seat brands.  I have a combi tyro and it fits onto the bar.  I was told this was not a jogger but more of a all terrain stroller.  I don't run but like to take walks often and needed a stroller that did well on rough terrain like bumpy roads, the sand, grass, etc.  This stroller is great for that.  I love the way it handles, it is easy to maneuver because the front wheel swivels which is key.  You have the option to lock the front wheel as well.  It folds down easily and it not to heavy to lift and I'm pretty petite.  I would recommend this stroller to anyone.",1
"I am grandma and baby's parents requested this by name. Works very well, washes and wears well, easy to use.",1
"Bought this for our granddaughter when she occasionally travels with us. Very sturdy, yet lightweight and easy to use, quick to move in and out of our car. I added a foam pad under the seat pad that comes with it, to give her a little more cushion. She finds it very comfortable now.",1
My grandson just loves this teether. It is soft enough all the way around but still bumby enoungh to help with the teething.,1
"I bought Mortimer the Moose, in part because of all the great reviews for it.  So far, I haven't figured out why so many people love him so much.  At this stage in the game, my 5 month old is mostly interested in putting things in his mouth.  The problem with Mortimer is that he's so big, that my baby isn't able to hold on to him for very long.  And Mortimer's antlers are pretty big, so I think he has teething toys that work better for that purpose.  This is the only Lamaze toy we have, so I can't compare the moose to any of the other animals the company produces.I could see that maybe he'd like the moose better as he gets older, but I wouldn't recommend the moose for small babies.",0
"our baby didn't like it.  Its well made and functions as advertised.  See other reviews regarding assembly as it is a little weird.  We had some sleep issues with our baby and took the advice of many in getting a swing.  We researched everything to make sure our son would get some sleep in this swing.  No matter what we tried, he would start crying minutes after being put in the swing.  Not really a testament to this product, as I really wanted the swing to work.  We ended up returning it, which was no easy task, since it is a nightmare to get unassembled.",1
"My 18 month old son didn't even want to hold this thing, let alone suck fruit out of it. He drinks out of 20 different kid cups, feeds himself with a spoon/fork, eats every brand of mash-ups, squeezable fruit, smoothies, etc on the market but he wouldn't touch this thing. Not sure why, but just didn't work for us at all.",0
This bottle was perfect for our little one.  She wasn't a burper and this bottle helped a lot with her spit up.  We tried Avent and Evenflow bottle and they just weren't as good.  Only troubling part was all the parts that came with it.  The bottle consistes of 5 different parts so when you was dishes you need to make sure you have all the parts before emptying the sink.,1
Bought this for my son who is 8 months old. He is in the 90th percentile for height and is still too short to use this product. I wish I would have read the other reviews before I bought this. I don't know why they would design a walker that sits so high off of the ground at the lowest setting. The box says that it is for 4 months or older. USELESS!,0
My Baby LOVES this! It was a great buy!,1
"I bought this for my baby's nursery, as I wanted something "" cartoon free"" and more like a princess theme. Her room looks just as expected. And just as the picture. Totally love it",1
"The Cosco Fruity Jungle Play Yard does not have ample padding in the bottom play area to protect babies from head injuries when they fall backward.  This is the third Cosco produce that I have bought or have been given for my grandson and ALL were returned for basically the same reason.  This product line is less expensive than most others , which is probably why people buy it.  But it is not provide piece of mind that it is safe.  When my grandson fell backwards in the play yard and his head made a sound that echoed throughout the room, I knew that this was not something that I would be keeping.He is only five months old but is very active, pulling himself up by holding on to the  rails of his crib and trying to stand up in the play yard.  I am looking for one that has more padding and that I feel is safer in guarding against head  and other injuries.If you are looking for a play yard.......do not buy this one.",0
Great comfort - eats batteries but we knew that going in. Go ahead and buy the corresponding batteries as you will go through one ever 2 weeks. Ends up costing about 10 dollars a month to operate but that is worth the improve in sleep/piece of mind.,1
The bag looks good and even better in real. We are using it for all our outing with the kid and it fit nicely his extra cloths and snacks.,1
"We have had this monitor for about 3 months now.  We love it!  It is sensitive to pick up pretty much as much sound as you'd like.  The video is incredible.  Even in a completely dark room, we can see our little one clear.  I'm not sure what the other reviewers are speaking about when they're describing the flashing LED's.  We don't see any of this.  They just stay on with a very dull orange appearance.  The only negative (if you can say that) about the monitor is if you use the video a lot on just battery power, it drains them pretty quickly.  You need to use the video on/off button to take quick peeks and then you're fine.  Highly recommend this monitor!!!",1
"Got this for a larger fit that some of our smaller coolers.  With the medela icepack (labeled as ""for breastmilk storage"" I can fit 3-4 regular playtex bottles.  I can't always seal the top, but in that case I do snap the handles together and that keeps it faily well closed for the short trip to daycare. This bag has lasted 4 years for us and although we wish it was a little bigger - it seems every bigger bag too big.  We love it.",1
"My almost four-year-old son liked a lot, now a week later he used by him self, is a great product and I higly recomended, easy to use, easy to clean, no mess around the bathroom and now he fell like a big boy now he know how to use a urinal.",1
I purchased this for my 8 month old daughter so she would have a safe place to play.  I followed the other people's advice and ordered 2 units instead of 1 with extensions.  It makes a large area and it is big enough for me and my husband to get in with her to play.  I especially like the fact that with 2 units there are 2 doors so you can have a door on both sides.,1
"We have had this mat for 4 months now. Our daughter has been using it since she could sit upright and she spends a lot of time on it since she has apparently decided to skip the whole crawling phase.We like this product because the foam is the right size, not too thick or too thin. She fell face down several times on this mat and did not hurt herself. She also fell back and bumped her head on it and despite the crying and all was not hurt either. So, it does the job. It is very easy to clean with soapy water. Easy to transport too which we did when we went away on a long vacation. Everything fits back in a small bag easily. The size of the mat is quite adequate too. We have seen mats in friends' houses that are way too big. To us it makes no sense to get big mats because either your baby does not crawl (like ours) and in this case this size is perfect, or your baby crawls and in this case he/she will definitively not stay confined on the mat :)Bad points: the paint does peel off after extensive use. It can be attenuated though by shuffling the mats around which is very easy. We have not seen any instances of that paint ending up on her hands or her clothes or anything such as suggested in other reviews. It seems to come off from rubbing against hard plastic toys and such.Another thing is that our daughter can sometimes reach the edge of the mat and is able to take the tiles off directly into her mouth of course.But all in all, it is a good product even if it is not very durable. We would recommend it only if you do not have the intention to keep it for a very long time.",0
It's not super high quality but it looks nice and for the price is a good buy.  Looks good in girls room,1
"We have a new baby boy that was born about a month ago. My wife and I have divided our duties and I'm the lucky chap who gets up at night and feeds him. She keeps a supply of breast milk in the fridge. Of course, I must warm up the milk and we purchased ""The First Years Quick Serve Bottle Warmer"" for that purpose. It's handy and easy to use, even in my sleep-deprived condition.I'm not totally satisfied with this product. First of all, the cap holder broke off the little measuring vile almost right from the start. There's no way to fix it. Oh well, fixing it isn't essential, but it gives me the feeling that this bottle warmer might be a cheap piece of junk. Secondly, the bottle warmer heats the milk too hot if the instructions are followed precisely. Experimenting a bit, I have found that if four ounces of milk are to be heated to the desired temperature in the bottle, then the little measuring vile for water (added to the warmer) should be filled only to three. Go figure. Once you get that little calibration problem worked out, everything seems to work satisfactorily. Using it is fairly quick and easy. Otherwise, the warmer is nice looking and easy to keep clean. Hopefully it will last as long as needed.Gary Peterson",1
"We got this stroller in anticipation of having 2+ children although we used the double attachment quite a bit even just with one child when we'd have other of her friends over for a playdate or such and could easily have a double stroller. The back seat is popular with the toddlers and can easily be taken on or off. We now have a 2nd child and are so grateful to have the double stroller that is so much more trim and compact than a double bob. We have had trouble with the wheels/rims (which other reviewers noted) but have had EXCELLENT customer service from phil and teds with them sending replacement wheels even after warranty had expired. We also have the travel bed and the travel high chair from phil and teds and have been so happy with all products. But, especially with the quick and excellent response we've gotten from customer service if anything has gone wrong when they have been quick to make it right.",1
I have had lots of pet nets as we called them but this is the best. Mainly because it is very large and can hold a lot of stuffed animals including the big ones,1
"This sleep sack is great! Soft and light, easy to get baby in and out of and makes diaper changes easy with the dual direction zipper!",1
Did not immobilize my LO enought for her liking. She likes to be swaddled tight. However I do use it for nap times but at night jave to use traditional swaddling techniques to get her wrapped tight.,1
This sling is the best! I have 2 of them and I use both all the time. I have been using it since my son was 3 months old. He is now 6 months old. I can put him in it in multiple positions and breast feed him in it when walking around. I get lots of compliments and people askng me where I got it. If its raining out I put him in the sling and the umbrella keeps us both dry and baby warm. I can't say enough good things about this sling.,1
"I usually use the take and toss cups and have never had a problem aside from possibly having a small drip from the spout after hours of it sitting upside down.  These leak everywhere through the twist on part.  My son complained about one of them not working and after checking it out I actually had to re-poke holes in the spout with a safety pin because they weren't done correctly.  Definitely not cheap enough for all of these issues, they are going into the recycle bin..even the ones we haven't used yet.",0
I ordered 2 of these gates and I am using one at my home and one at my son's apt. We are very happy with this gate since it doesn't mark the walls and is very secure. It is a great product and pretty easy to use.,1
"This is my fifth Britax car seat, and my second Britax Parkway SGL booster seat.  All of the seats are excellent quality and have the highest safety rating for car seats.  Britax has changed the positioning clip which the seat belt is directed through, and I have no issues with the seat belt getting stuck or not sliding smoothly through the clip.  The first Parkway SGL I bought about 8 months ago had the slot that the seat belt slides through in the center of the positioning clip, and like other reviewers have stated, the belt does sometimes get stuck or slip into that space when you are buckling or unbuckling your child.  We have that seat in my husband's truck, so it just gets occasional use.  The new Parkway has the slot in the back of the seat belt positioning clip, and I have had no issues with it.  Britax must have listened to it's customers.  I particularly like the LATCH.  The booster seat is held firmly in place, and this is great for getting in and out of the car as well as safety when the booster is not being used.  Contrary to what some reviewers have stated, the point of the LATCH is to hold the seat in place, this booster seat is not to be put tight into the car like a regular car seat with a harness. The seat is lightweight and easy to move from car to car.",1
"This is an easy to install gate. No drilling necessary, easy up, easy down. Solves the risk of little ones falling down the stairs.",1
"Baby gates are so expensive for a good quality gate...so when I found this one, I was skeptical because it was so cheap...but it's better quality than any others I've seen!!!! LOVE IT!!!!",1
"Could not keep my two year old out of the fridge and after he broke a jar on the floor it was time to do something.  After a brief search I found this latch and despite the negative reviews I ordered it.  Product arrived quickly, installation was a snap and I have had no problems with it coming loose.  Based on the negative reviews I chose to clean my fridge with acetone rather than the recommended method in the directions of using rubbing alcohol.  As a side note my fridge is white so I am not sure how this would do with stainless.",1
"I love how easy it is to put it in the car , very light one. Makes a perfect stroller with car seat.",1
"Like another reviewer said, it's a dumb block of foam...yes! However, I was able to install the Radian 100 with this ""dumb block of foam"" and have my passenger seat nearly all the way back in my 4 door 2012 Honda Civic! Easy to use and really effective. Pay the $10 and save yourself a few inches of space.",1
Con: it is a little small. It is about 27 inches long so my son gre out of sleeping in this fast. We got a Co-sleeper that he is using now. love having both items.Pro: It can sit up into a chair position. Even though my son is too big to sleep in it he still sits in it every day becasue in the sitting position the seat has more leg room.My son does not like the bouncing but if your kid does it works very well. I never used the mobile either.,1
Love these! so easy to use in a hurry which is important when little hands are trying to grab things!,1
This gate deserves a gold medal.  It was originally purchased to block off the kitchen from our 16 month terminator but proved its worthiness again as it keeps our new lab puppy in the kitchen.  It is also so user friendly. We are buying another one for the other end of the kitchen.  Don't waste your money on others!!!,1
We recieved this for a shower gift and it is by far our baby's biggest necessity! It has all the bells and whistles and I can say we use all of the features it comes with. The only thing I would change about the swing is to make the music last longer. It has such lovely soft music that lulls my baby to sleep! The cradle feature on the cradle swing makes our baby feel snug like she's in our arms. We LOVE this swing!!,1
"I'm exclusively breastfeeding so my doctor recommended I give my son Vitamin D drops.  These work great and he takes them without issue.  He opens his mouth like a little bird as soon as he sees the bottle :)My only complaint is how you administer it.  You are supposed to give one drop, but the bottle isn't very &#34;squeezable.&#34;  It's hard to get the drop to come out.  Hence the 4 stars.",1
"Need to find a faster system than filling with a spoon, but these work well.  Have to make sure they are expanded all the way before filling, otherwise you can't fit much in them.  Had a leak the first time I used them, cap wasn't on tight enough.  Good for the price.",1
"I am using this gate between my kitchen and dining room to stop the dog from going into the nice areas of our house.  I used to have an old baby gate there that looked really bad, so wanted to get something nicer.  This gate looks really nice and I am not embarrassed to leave it up when we have company.  It actually looks like it belongs there and I get compliments on it.Installation was quick but a little tricky.  If you don't have it lined up correctly or have it compressed the exact right amount, the door either catches too much or will not catch at all.  Getting it right took me adjusting and repositioning a few times, but I think the 48&#34; opening (the max size for the gate) that I was installing it in made it a little more difficult.  It also has some positioners that you can screw into the wall to hold it solidly in place instead of just relying on the compression to do so.",1
This is the second we have purchased we liked it so much the first time around. I really recommend it to help keep the records of your child organized.,1
I'm hoping I'll be able to use these when my baby is bigger (she's 6.5 mos now).  Her finger tips are too tiny for these now.  The Piyo Piyo scissors work much better.,0
